,Movie,Year,Time,Genre,Pick,Zach,Amin,Mayes,RT Crit,Crit #,RT Aud,Aud #,Combo,Sprd,Budget,Box Off WW,Cost,TM,Daisy Chain,Guest,P/P,Golden Dumpster,Z,A,M,Carl Weathers Memorial Ass OFF Award,Michael Biehn (Emilio Estevez) Ass ON Award,Louis Pinnock Accent Award,Five Horsemen,Rewatchingtons,"GD Nominees - Scene, Actor, Director or Moment",,,,,
207,Timecop,1994,98,Sci-Fi,M,Phile,Phile,Phile,42%,45,36%,50k +,78%,-6%,$27 Mil,$101 Mil,Tubi,,JCVD,,,,splits on the counter with cakes out,damnit ricky if i catch you fucking this machine again ill break your arm,JCVD freezing and shattering taser guys arm,Ron Silver as Senator AAron,Taser Guy,Duncan Frasier as Officer Cuck O'Leary,Tough Guy Talk,,,,,,,
,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,D2: The Mighty Ducks,1994,106,"Kids & family/Comedy,",A,Phobe,Phobe,Phile,21%,14,59%,250K+,80%,38%,-,$45.6 Mil,Disney +,,,,,,Emillio showing up late hammered with the duck call,Mayes Roping young Bullies,Knuckle Puck,Carsten Noorgard,Emilio Estevez,Scott Whyte as Gunner Staal,Product Placement,,,,,,,
209,Jaws The Revenge,1987,89,Mystery & thriller/Horror,Z,Phile,Phobe,Phobe,0%,41,15%,50K +,15%,15%,,$18.8 Mil,$,,,,,,tag line - This time its personal,Hoagie talking about the one armed piano player and michael realizing hes going to rail his mom,VooDoo shark plot line,Michael Caine as Hoagie,Brody Family,Bingo Shark ,Banter,,,,,,,
210,Tammy and the T-Rex,1994,82,Comedy/Fantasy,M,Phobe,Phobe,Phobe,43%,7,40%,500+,83%,-3%,$1 Mil,,Tubi,,,,,,New body montage,Cops as horny neville,Testicular Stand-Off,T-Rex's Hands,Ken Chandler as Dad,Terry Kiser as Dr. Wachenstein,adjecency,,,,,,,
211,Driven,2001,117,Action,A,Phobe,Phile,Phobe,14%,111,33%,25K +,47%,19%,$94 Mil,$54 Mil,$,,,,,,Drunk Gina talking shit,Burt Reynolds telling Sly he is going to void the contract,Ribbit Ribbit,Gina Gershon,Kip Pardue,------,Announcerposition,,,,,,,
212,MVP: Most Valuable Primate,2000,92,Comedy,Z,Phile,Phobe,Phobe,40%,5,40%,5K+,80%,0%,-,$1.3 Mil,Tubi,,,,,,Jack putting on the glasses,Kid tossing the invite into an iris,Coach trying to convince owners to allow Jack to play,Mac as Jack,Bingo Bow Tie Janitor,Jack Sign Language,Chimptage,,,,,,,
213,Gnome named Gnorm,1990,84,Fantasy,M,Phobe,Phobe,Phobe,-,-,34%,250+,,,-,-,Tubi,,,,,,G-norm posted up starfish on the fireplace,Pooka nice roundy - then the problematic sounds,Just the G-Nome,Mark Harelik - Det. Kaminisky,Eli Danker - Zadar,Anthony Michael Hall - Holy Macaroni ,G-Horniness,,,,,,,
214,Blue Chips,1994,108,Sports Drama,A,Phile,Phile,Phile,38%,29,51%,5K+,89%,13%,,$21.8 Mil,Para +,,,Anthony Chicago Hall - Tony,Phile,Get Tony some Prophylactics,"Failing TV, how you failing TV",Opening Locker Room Scene,Louis Gossett Jr. as Father Dawkins mucking it up and talking shop with all the college coaches,Nick Nolte - Pete Bell,Bob Cousy - Vic ,Anthony Chicago Hall - Nick Nolte and William Friedkin Impressions,BARS,,,,,,,
215,The Commuter,2018,104,Mystery & Thriller/Action,Z,Phile,Phile,Phobe,55%,218,40%,5k+,95%,-15%,,$36.3 Mil,Netflix,,,,,,The credits,Liam Neeson shitting his pants,Liam's legs flopping around under train like Crazy Legs from Don't be a Menance,Liam Neeson - Michael MacCauley,All the Federal Agents,Andy Nyman - Tony,Tactical Redundancy,,,,,,,
216,Hurricane Smith,1990,86,Action Drama,M,Phobe,Phobe,Phile,0%,0,28%,250+,28%,28%,,,$,,,,,,I got no problems with whores,Julie walking into apartment to see slut written on the mirrors,Jurgen okey doking Shanks twice then shoving the woman down on the couch,Carl Weathers - Hurricane Smith,Louise McDonald - Annabel,Carl Weathers - Texas Accent,Bastahhds,,,,,,,
217,Balls of Fury,2007,90,Comedy/Sport,A,Phile,Phile,Phile,21%,131,33%,250K +,54%,12%,,,Max,,,,,,You got boggle?,Sex Slave Scene,James Hong Ping Pong is a well aged prosititue monologue,Thomas Lennon - Karl Wolfschtagg,George Lopez - Rodriguez,Thomas Lennon - Karl Wolfschtagg,Poppytalk,,,,,,,
218,Judgment Night,1993,109,Mystery & thriller/Action,Z,Phile,Phile,Phile,38%,21,54%,5k+,92%,16%,,$11.8 Mil,Tubi,,,Chef Reactions,Phile,Negotiation on the roof with Leary and Piven,"three entrances covered, then the Sykes just walk in",Nice job Buddy road rage scene in traffic,Gunshot illuminates Leary's face for the first time,Everyone but Emilio Estevez,Emilio Estevez - Bitch Husband - Frank Wyatt,Everlast,Banter,,,,,,,
219,Fools Paradise,2023,97,Comedy,M,Phobe,Phobe,Phile,18%,45,38%,50+,56%,20%,,$855K,Hulu,,,,,,Moo Moo Moo,Adrien Brody - Did the silent treatment to my ex wife....she didnt get it though,Lex Tanner namaste photobooth,Adrien Brody - Chad Luxt,Common - Dagger,Charlie Day - Sir Bingosley ,Hollywood - MESSAGE,,,,,,,
220,The Scout,1994,101,Comedy/Drama,A,Phile,Phile,Phobe,31%,26,22%,5K+,53%,-9%,,$2.6 Mil,$,,,,,,Draw full of Knives ,Tutoring scene with Ty Cobb and Lou Gehrig ,Steve Nebraska entering the game in Mexico on the float,Albert Brooks - Al Percolo,Michael Rapaport - Tommy Lacy,20 CB Translator Device,Sean Astin Digging A Pool,,,,,,,
221,Sudden Death,1995,110,Action,Z,Phile,Phile,Phile,50%,36,39%,25K +,89%,-11%,,$20.2 Mil,$,,,Roy Bellamy,Phile,Disguise of Powers Booth,JCVD Film Noir as Goalie,Tell my ex-wife her gravy train went off the track,Mascot fight in th Kitchen,Powers Booth in Disguise - Joshua Foss,The Kids,Michael Gaston - Hickey,Seventh Game of Stanley Cup Finals,,,,,,,
222,Observe and Report,2009,86,Comedy,M,Phobe,Phobe,Phile,51%,211,37%,250K+,88%,-14%,$18.0 Mil,$24.0 Mil,Max,,,,,,Ronnie Cuck O'learying Anna in the car,Scene with Bruce,Dennis and Ronnie Drug Montage,Anna Faris - Brandi,Yuan Twin - the one on the right,Michael Pena - Lisp - Dennis,Voice Over,,,,,,,
223,Bad Company,2002,116,"Action, Comedy, Thriller",A,Phile,Phile,Phobe,10%,135,35%,50K+,45%,25%,$70 Mil,$30.2 Mil,YouTube,,,Kelley L Carter,Phile,,,,"Tony Hopkins - ""Bitch""",Peter Stormare - Adrik Vas,"Chris Rock - Jake Hayes, Kevin Pope, Michael Turner ",Peter Stormare - Adrik Vas,Street Smarts,,,,,,,
224,Men at Work,1990,98,Comedy,Z,Phile,Phile,Phobe,32%,28,44%,25K+,76%,12%,$7 Mil,$14.1 Mil,Max,,,,,,Keith Davids moving the corpse's hands,Keith Davids moving the corpse's hands,"""Air is just right for drinking""",Keith David - Louis Fedders,Emilio Estevez - James St. James,Geoffrey Blake - Frost,Train of Thought,,,,,,,
225,Conan the Destroyer,1984,101,"Adventure, Action, Fantasy
          
        ",M,Phobe,Phobe,Phobe,26%,27,38%,50K+,64%,12%,$18 Mil,$31 Mil,Netflix,,,,,,Arnold's face when twirling the sword,Arnold punching the horse,Drunk Arnold,Akiro 'The Wizard' Character,Wilt Chamberlain - Bombaata,Tracy Walter - Malak,HORNyness,,,,,,,
226,Half Past Dead,2002,98,Action,A,Phile,Phile,Phobe,3%,88,37%,10K+,40%,34%,$13 Mil,$19 Mil,$,,,,,,Ja getting thrown from the car hitting the window then dusting of his TJ Ford suit,Inmates loading up and cocking guns for an hour,Steven Seagal's Du-Rag,Steven Seagal - Sasha Petrosevitch,Ja Rule - Nicolas 'Nicgolas' Frazier,Steven Seagal - Sasha Petrosevitch - Talking to Black Guys,Sparks,,,,,,,
227,Airheads,1994,91,"Comedy, Crime, Music",Z,Phile,Phile,Phile,29%,38,50%,100K+,79%,21%,,$5.75 Mil,DVD,,,Ian Karmel,Phile,Water Gun with Hot Sauce in it,Water Gun with Hot Sauce in it,We got to send one of the people out....I'll go....One of the hostages....Sorry,Lone Rangers explaining there muscial style as Power Slop,Joe Mantegna - Ian,Judd Nelson - Jimmie Wang,David Arquette - Bingo Carter,20CB Slang,,,,,,,
228,Surviving the Game,1994,96,Action,M,Phobe,Phobe,Phobe,35%,20,48%,5K+,83%,13%,$7.4 Mil,$7.7 Mil,$,,,,,,Charles S. Dutton - Walter Cole - Tropic Thunder,F Murray Kill and his son Dereeek,McGinley staring at Ice-T nonstop as soon as he arrives,Charles S. Dutton - Walter Cole - Tropic Thunder,Ice-T - Jack Mason - Unhouse Gentleman Reading his Lines off paper,John C. McGinley - Griffen,PoppyTalk,,,,,,,
229,Madame Werb,2024,116,"Action, Adventure, Sci-Fi, Thriller",A,Phile,Phile,Phobe,11%,256,57%,1k+,68%,46%,$80 Mil,$100 Mil,Netflix,,,,,,Amin not realizing all the spider man references,Cassie drives the Ambalance into the guy TWICE,Cassie bringing up her mother dying in child birth at a baby shower,Pepsi Sign,Helicopter Pilot,Tahar Rahim - Ezekiel Sims,Product Placement,,,,,,,
230,Masters of the Universe,1987,105,Fantasy,Z,Phile,Phile,Phobe,21%,28,41%,25k+,62%,20%,$22 Mil,$17 Mil,Everywhere,,,,,,Visual Effects of Richard Edlen,"Skeltor tearing Julie's ACL, PCL and MCL with a bolt of lightning",Dangerous nights crew ,Frank Langella - Skeletor,Robert Duncan McNeill - Kevin Corrigan,Gildorf - MAGAdorf,Entering a Scene,,,,,,,
231,Mike and Dave Need Wedding Dates,2016,98,Comedy,M,Phobe,Phobe,Phile,39%,171,51%,25K+,90%,12%,$33 Mil,$77 Mil,$,,,,,,Whisper scene is the hallway,"Sam Richardson with the ""Thats too many points""",Mike walking in on Aubrey Plaza finger diddling his cousin,Zac Efron - Dave Stangle,Wendy Williams - Wendy Williams,Alice Wetterlund - Cousin Terry - Chris Rock Impression,Tactical Redundancy,,,,,,,
232,Law Abiding Citizen,2009,108,"Mystery & Thriller, Crime, Drama",A,Phile,Phile,Phile,26%,162,75%,250K+,101%,49%,$50 Mil,$127 Mil+,STARZ,,,Nery Saenz,Phile,Judge phone exploding Death,"You jump on it like a bitch in heat - i bet you take it up the ass, see you later nick  - Whole scene",Sara!!! - meh - car explodes ,Gerard getting fully nude for the cops as they come to arrest him,Gerard Butler - Clyde Shelton,Emerald-Angel Young - Denise Young,Gerard Butler - Clyde Shelton,Sluffing the Blame/Accountability,,,,,,,
233,Lionheart,1990,105,JCVD Action,Z,Phile,Phile,Phobe,39%,18,52%,10K+,91%,13%,$6 Mil,$24.0 Mil,Everywhere,,Prison????,,,,Entrance out of delivery truck ,Foisting of the bill,Joshua using a payphone with a chord wrapped around a guys neck,Harrison Page - Joshua,Brian Thompson - Russell,George McDaniel - Adjutant,Instant Replay,,,,,,,
234,The Pest,1997,82,Comedy,M,Phobe,Phobe,Phobe,4%,25,67%,25K+,71%,63%,$8 Mil,$3 Mil,Youtube TV,,Scotsman,,,,OPE-ning scene,Yo i am so glad you came,cock-toe formula,Jeffrey Jones - Gustav,Real Snake that bit John Leguizamo,Jeffrey Jones Jr. - Gustav - German,Ope,,,,,,,
235,Dirty Work,1998,82,Comedy,A,Phile,Phile,Phile,14%,28,66%,25K+,80%,52%,$13 Mil,$10 Mil,TUBI,,"$50,000",,,,Jim downey two speaches,Prison Scene - Norm pulling up pants,Ok enough reminiscing ,Jack Warden - Pops,"
          
 Hrant Alianak - Kirkpatrick",Don Rickles - Problematic Arabic,Note to Self,,,,,,,
236,Karate Kid 3,1989,113,Action/Family,Z,Phile,Phile,Phobe,15%,34,35%,50K+,50%,20%,$12.5 Mil,$38 Mil,$,,Snort Revenge,,,,Snake Throws,Ahhh....I know,Silver Formula,Terry Silver as Nice Terry Silver,Ralph Macchio - Daniel,Pat Morita - Mr Miyagi,OPE!!,,,,,,,
237,X-Men Origins: Wolverine,2009,108,Action/Fantasy/SciFi/Comics,M,Phobe,Phobe,Phobe,38%,261,58%,250K+,96%,20%,$150 Mil,$373 Mil,Disney+,,Vietnam Vets,,,,distance travelled,circus freak murder,Wolverine rising from the water bath,Danny Huston,Will.I.Am,Taylor Kitsch,Spike Woods,,,,,,,
238,Jack Reacher - Never Go Back,2016,113,Action/ Mystery & Thriller,A,Phile,Phile,Phobe,38%,245,42%,25K+,80%,4%,$60 Mil,$162 Mil,Netflix,,Bourbon Street,,,,Are you mad that I treated you like a woman or that I treated you like a man?,"Jack Reacher telling the broad daughter ""im an old friend of your moms""...""she doesnt do that anymore",Using an internet cafe in 2016,Tom Cruise,Colbie Smulders,Jake Delhomme,I like how he figures shit out,,,,,,,
239,Double Team,1997,91,"Buddy Cop, Action, Comedy, Sci-Fi, Thriller, Adventure ",Z,Phile,Phile,Phile,11%,19,25%,25K+,36%,14%,$30 Mil,$11.4 Mil,$,,Fingerprints,,,,Vending machine stopping the explosion,Stavros shoving the maid out of the way for no reason,D-Rod's Oakley,Tiger,Dennis Rodman - Yaz,Italian Door Man at Hotel,Grenades/Explosion,,,,,,,
240,Dante's Peak,1997,108,Action Adventure Thriller,M,Phobe,Phobe,Phile,30%,33,38%,100K+,68%,8%,$116 Mil,$178 Mil,Amazon,,Driving through a river,Mike Ryan,Phile,row row row your boat as the acid lake eats the boat,Surge Pricing Helicopter Pilot,Death of Marianne,Dante's Peak - 2nd best place to live - population under 20K - Money Magazine,Elizabeth Hoffman - Ruth,Graham the bingo child,Pierce Brosnan - Allegedly 'Merican,Put the Town on Alert!,,,,,,,
241,Volcano,1997,104,"Disaster, Action, Drama, Sci-Fi, Thriller",A,Phile,Phile,Phile,50%,48,32%,100K+,82%,-18%,$90 Mil,$122 Mil,Hulu,,1997 volcano movies,,,,Tommy Lee Jones using a jack-hammer,Steve Ballmer melting,Giant Penis on the map,Anne Heche - Dr. Amy Barnes,Bert Kramer - Fire Chief,Anne Heche imitating Tommy Lee Jones,News Exposition,,,,,,,
242,The Glimmer Man,1996,92,Action,Z,Phile,Phile,Phobe,11%,28,38%,10K+,49%,27%,$45 Mil,$20.3 Mil,$,,The City of LA,,,,"Seagal waiting behind the desk ""reading"" the newspaper",Seagal tackling Johnny Deverell through a third story window in the school accross the courtyard into another window and room,Seagal lying about having seen Casablanca,Brian Cox - Mr. Smith,Steven Seagal - The Glimmer Man,Richard Tanner - Lento's Maître d',Rain in LA,,,,,,,
243,Final Destination,2000,97,"Horror, Mystery & Thriller",M,Phobe,Phobe,Phobe,37%,98,68%,250K+,105%,31%,$23 Mil,$112 Mil,Youtube TV,,Rain,,,,"Carter announcing ""Im never going to die""",Hog Talk - Penthouse Mag,Candy man death's sadistic monologue,Oxygen Tank Man,Devon Sawa - Hunter Dunbar,Larry the French Teacher,Bad Writing,,,,,,,
244,The Number 23,2007,97,Mystery & Thriller,A,Phile,Phile,Phobe,7%,189,56%,250K+,63%,49%,$30 Mil,$77 Mil,$,,Numerology,,,,breakup note - go to hell,"Laura Tollins youre pathetic, just like your father",Ned the dog ,Jim Carrey,Barnaby the Academy Award Winning Actor,Jim Carrey Meowing at the dog,cucking,,,,,,,
245,Batman Forever,1995,121,"Action, Adventure & Fantasy",M,Phile,Phile,Phile,41%,71,33%,250k+,74%,-8%,$100 Mil,$336.5 Mil,Max,,A boy named Robin,,,,Batman in court in full outfit,,,Jim Carrey - E-Nigma,Van Kilmer - Batman,Dick Chickano - Chris O'Donnell,Two-Minds,,,,,,,
246,The Good Son,1993,87,Mystery & Thriller,Z,Phile,Phile,Phile,25%,28,54%,50K+,79%,29%,$17 Mil,$60 Mil,$,,someone holding onto your hand to prevent you from falling to your death below,,,,slapping the ever loving shit out of him,Mr. Highway scene,Susan flopping like Vlade Divac,Macauley Kulkin - Pyschopath,Quinn Kulkin - Broad Sister,jePedophile,gaslighting,,,,,,,
247,Home Alone 2 - Lost in New York,1992,120,Kids & Family/ Holiday/ Comedy,A,Phile,Phile,Phobe,35%,57,62%,250K+,97%,27%,$28 Mil,$358 Mil,Disney+,,undiagnosed childhood pyschosis,,,,"Kevin McCallister, a rich Chicago Suburban heir, likening unhoused pigeon lady being covered in pingeon shit to him not wearing his rollerblades ",Buzz fucking with Kevin in the Choir,Kevin McPodcastProducer,Ralph Foody - Johnny in Angels with Even Filthier Souls,Donald Trump as Donald Trump,Its a wonderful life in spanish,slip-stick comedy,,,,,,,
248,Married by Christmas/The Engagement Clause,2016,90,Holiday/Comedy/ Romance,Z,Phile,Phile,Phobe,0,0,36%,<50,36%,36%,-,-,Peacock/Tubi/Prime,,Christmas Movies,,,,Ponchos Burgos,Taffer's expert making the wildtini,nana the misogynist thinking woman cant business,Disembodied People who dont say anything,Sargeant Bitsy Tate,Renfair Paul,misogyny,,,,,,,
249,Feliz NaviDAD,2020,90,Holiday/Comedy/ Romance,Z,Phobe,Phobe,Phobe,0,1,14%,<50,14%,14%,-,-,Disney+,,Dimples,,,,The video of Noelle playing the piano,Can i get you another egg cream - OPEE,Sabrina the middl-aged witch crystals,Frankie Quinones - Jesse,"Herb Mendelsohn - Willard
Herb Mendelsohn",Mario Lopez - Nutcracker russian nesting dolls and calling daughter MiHAAA,Lip-syncing ADR,,,,,,,
,2025,,,,,,,,,,,,,,,,,,RESET,,,,,,,,,,,,,,,,,
250,Marked for Death,1990,93,Action/Seagal Movie,A,Phile,Phile,Phile,27%,11,50%,10K+,77%,23%,$12Mil,$58 Mil,$,,,Roy Bellamy,Phile,All the fight scenes with the Jamaicans & Nestor dead? who did it white boy Hatcher?,The girl perfectly getting up and running away after her first hit of crack,Finding out that the dude had his arm in his shirt,Screwface stabbing Rasta Lionel through the chest while Rasta Lionel is holding Screwfaces depactictated head ,Keith David - Max,Elizabeth Gracen - Melissa,Rasta Lionel - Tom Wright,Breaking Bones,,,,,,,
251,The Boondock Saints,1999,110,Crime/ Drama/ Mystery & Thriller,M,Phobe,Phobe,Phile,26%,31,91%,250K+,117%,65%,$6Mil,$30K,Everywhere,,Killer Twins,,,,Willem Dafoe reenacting the gunshots into the air duing the firefight bloodbath,"Can't do that much damage with that, perhaps should have been rule of wrist",Ron Jeremy's weekly peep show routine,Willem Dafoe - Homosexual Paul Smecker,White Bob Markley - Bingo Detective Greenly,Jeffrey R. Smith - Stuttering Tourette Bartender,Fade to black,,,,,,,
252,Red One,2024,122,Holiday/ Action/ Adventure/ Comedy,M,,,,30%,178,90%,5K+,120%,60%,$350Mil,$184Mil,Prime,,Irish last names,,,,,,,,,,,,,,,,,
253,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
